Project ID	Street	Zip
1 BELL SLIP	45 COMMERCIAL STREET	11222
1 BOERUM PLACE APARTMENTS	346 FULTON STREET	11201
1 COLUMBUS PLACE	1 COLUMBUS PLACE	10019
1 FLATBUSH AVENUE	15 FLATBUSH AVENUE	11217
1 SULLIVAN	1 SULLIVAN PLACE	11225
1 UNION SQUARE SOUTH APARTMENTS	1 UNION SQUARE SOUTH	10003
10 LEXINGTON AVENUE	10 LEXINGTON AVENUE	11238
10 MONTIETH STREET	10 MONTIETH STREET	11206
10 WEST 132 STREET APARTMENTS	10 WEST 132 STREET	10037
10-44 JACKSON AVENUE APARTMENTS	Oct-44 JACKSON AVENUE	
100 BARROW STREET	100 BARROW STREET	10014
100 HIMROD STREET	100 HIMROD STREET	11221
100 SUYDAM STREET	1251 MYRTLE AVENUE	11221
1007 ATLANTIC AVENUE	1007 ATLANTIC AVENUE	11238
101 - 103 - 105 LIBERTY	101 LIBERTY AVENUE	11212
101 BRUCKNER BLVD	101 BRUCKNER BOULEVARD	10454
101 SOUTH 3RD ST (LOS SURES PHASE 1)	103 SOUTH 3 STREET	11249
101-35 106TH STREET, QUEENS	101-35 106 STREET	11416
1010 ROGERS AVENUE	1010 ROGERS AVENUE	11226
1019 FULTON STREET	1019 FULTON STREET	11238
102 CENTRAL AVENUE	102 CENTRAL AVENUE	11206
102 CHARLTON STREET	102 CHARLTON STREET	10014
102 HOOKER PLACE	102 HOOKER PLACE	10302
102 QUINCY STREET	102 QUINCY STREET	11238
102 SOMERS STREET	102 SOMERS STREET	11233
1025-1027 LEGGETT AVE HDFC.PLP.FY19	1025 LEGGETT AVENUE	10455
1027 REVEREND JAMES POLITE AVENUE APARTMENTS	1027 REV JAMES A POLITE AVENUE	10459
103 VARET MANAGEMENT LLC	103 VARET STREET	11206
103-43 120TH STREET APARTMENTS	103-43 120 STREET	11419
1030-1032 STEBBINS AVENUE APARTMENTS	1032 REV JAMES POLITE AVENUE	10459
1030-1032 STEBBINS AVENUE APARTMENTS	1030 REV JAMES POLITE AVENUE	10459
1032 DEKALB AVENUE	1032 DEKALB AVENUE	11221
1035 ANDERSON AVENUE	1035 ANDERSON AVENUE	10452
1035 CORTELYOU ROAD	1027 CORTELYOU ROAD	11218
104 CENTRAL AVENUE APARTMENTS	104 CENTRAL AVENUE	11206
104 LINDEN BOULEVARD	104 LINDEN BOULEVARD	11226
104-22 ASTORIA BOULEVARD	104-22 ASTORIA BOULEVARD	11369
1042 PRESIDENT STREET	1042 PRESIDENT STREET	11225
1043 FULTON STREET (BPL OFFSITE 1 OF 2)	1043 FULTON STREET	11238
1044 BEDFORD AVENUE	1044 BEDFORD AVENUE	11205
1049 UNDERHILL AVENUE, BRONX	1049 UNDERHILL AVENUE	10472
105-05 NORTHERN BOULEVARD	105-05 NORTHERN BOULEVARD	11368
1050 MANHATTAN AVENUE	1050 MANHATTAN AVENUE	11222
1051 NEW YORK AVENUE	1051 NEW YORK AVENUE	11203
1052 GREENE AVENUE APARTMENTS	1052 GREENE AVENUE	11221
105TH STREET & AMSTERDAM AVENUE PROJECT	981 AMSTERDAM AVENUE	10025
105TH STREET & AMSTERDAM AVENUE PROJECT	107 WEST 105 STREET	10025
1068 FULTON STREET APARTMENTS	1068 FULTON STREET	11238
1068 PUTNAM AVENUE APARTMENTS	1068 PUTNAM AVENUE	11221
1072 UNIVERSITY AVENUE	1072 UNIVERSITY AVENUE	10452
1081 TIFFANY STREET APARTMENTS	1081 TIFFANY STREET	10459
109 BRUCKNER BOULEVARD	109 BRUCKNER BOULEVARD	10454
1091 Bushwick Avenue HDFC	1089 BUSHWICK AVENUE	11221
1095 Bushwick Ave HDFC	1095 BUSHWICK AVENUE	11221
1097 GLENMORE AVE.GHPP.FY18	1097 GLENMORE AVENUE	11208
1098 MADISON STREET	1098 MADISON STREET	11221
11 Jackson Street	11 JACKSON STREET	11211
11-07 WELLING COURT	7-Nov WELLING COURT	
11-39 49TH AVENUE	27-Nov 49 AVENUE	
1104 BEDFORD AVENUE	1104 BEDFORD AVENUE	11216
1109 Madison Street	1113 MADISON STREET	11221
111 EAST 115TH STREET	109 EAST 115 STREET	10029
111 TROUTMAN STREET APARTMENTS	111 TROUTMAN  STREET	11206
111 VARICK STREET	111 VARICK STREET	10013
111 W 71ST STREET	111 WEST 71 STREET	10023
111 WILLOW AVENUE	750 EAST 134 STREET	10454
1117 HOE AVENUE APARTMENTS	1117 HOE AVENUE	10459
1119 BROADWAY	1119 BROADWAY	11221
1120 WHEELER AVE.GHPP.FY20	1120 WHEELER AVENUE	10472
1121 36TH STREET APARTMENTS	1121 36 STREET	11218
1127 FLATBUSH AVENUE APARTMENTS	1127 FLATBUSH AVENUE	11226
1130 SHEVA REALTY HDFC.HPO.FY17	1130 ANDERSON AVENUE	10452
1134 FULTON STREET	1134 FULTON STREET	11216
114 JEFFERSON STREET	114 JEFFERSON STREET	11206
1140 BUSHWICK AVENUE	1140 BUSHWICK AVENUE	11221
115 STANWIX STREET	115 STANWIX STREET	11206
115 SUYDAM STREET	115 SUYDAM STREET	11221
1157 MYRTLE AVENUE APARTMENTS	1157 MYRTLE AVENUE	11206
116 WALTON LLC	116 WALTON STREET	11206
116-09 GROSVENOR LANE	82-77 116 STREET	11418
1164 & 1168 GREENE AVENUE	1164 GREENE AVENUE	11221
117 EAST 95TH STREET	117 EAST 95 STREET	11212
1176 NELSON AVENUE	1176 NELSON AVENUE	10452
118 Fulton Street	118 FULTON STREET	10038
118-97 RIVERTON STREET, QUEENS	118-97 RIVERTON STREET	11412
1181 SHERMAN AVENUE	1181 SHERMAN AVENUE	10456
1183 GATES AVENUE	1183 GATES AVENUE	11221
1184 RIVER AVE	1164 RIVER AVENUE	10452
1193 FULTON AVENUE	1193 FULTON AVENUE	10456
1199 HOUSING CORP.PLP.FY19	2070 1 AVENUE	10029
1199 HOUSING CORP.PLP.FY19	420 EAST 111 STREET	10029
1199 HOUSING CORP.PLP.FY19	2090 1 AVENUE	10029
1199 HOUSING CORP.PLP.FY19	2116 1 AVENUE	10029
12 ECKFORD	12 ECKFORD STREET	11222
12 FORD STREET	12 FORD STREET	11213
1207 BROADWAY	1207 BROADWAY	11221
1214 GREENE AVENUE	1214 GREENE AVENUE	11221
1223 BROADWAY	1223 BROADWAY	11221
1225 42ND STREET	1225 42 STREET	11219
123 HOPE STREET	123 HOPE STREET	11211
1238 DECATUR STREET	1238 DECATUR STREET	11207
124 ERASMUS STREET	124 ERASMUS STREET	11226
1240 SHEVA REALTY HDFC.HPO.FY17	1240 WALTON AVENUE	10452
1248 NEW YORK AVENUE APARTMENTS	1248 NEW YORK AVENUE	11203
125 BORINQUEN PLACE	125 GRAND ST EXTENSION	11211
125 Metropolitan Avenue	94 NORTH 3 STREET	11249
1250 NEW YORK AVENUE APARTMENTS	1250 NEW YORK AVENUE	11203
1255 BEDFORD AVENUE	1255 BEDFORD AVENUE	11216
1259 51ST STREET	1259 51 STREET	11219
126 BOERUM STREET APARTMENTS	126 BOERUM STREET	11206
126 INDIA REALTY LLC	126 INDIA STREET	11222
1266 OCEAN PARKWAY APARTMENTS	1266 OCEAN PARKWAY	11230
1266 PACIFIC STREET APARTMENTS	1266 PACIFIC STREET	11216
127 GRAHAM AVENUE LLC	127 GRAHAM AVENUE	11206
127 TROUTMAN STREET APARTMENTS	127 TROUTMAN STREET	11206
127 WEST 43 ST | WOODSTOCK	127 WEST 43 STREET	10036
1270 NEW YORK AVENUE	1270 NEW YORK AVENUE	11203
128 HURON STREET	128 HURON STREET	11222
1281 HOE AVENUE, LLC	1281 HOE AVENUE	10459
129 TROUTMAN STREET APARTMENTS	129 TROUTMAN STREET	11206
1294 PARK PLACE APARTMENTS	1294 PARK PLACE	11213
1296 SHERIDAN AVENUE.HPO.FY2018	1296 SHERIDAN AVENUE	10456
13 GARDEN STREET	13 GARDEN STREET	11206
13 JEFFERSON STREET	13 JEFFERSON STREET	11206
1314 SENECA HDFC.HPO.FY18	1314 SENECA AVENUE	10474
1315 REVEREND JAMES A POLITE AVENUE	1315 REV JAMES POLITE AVENUE	10459
1319 PROSPECT AVENUE	1319A PROSPECT AVENUE	10459
132-77 METROPOLITAN AVENUE	132-77 METROPOLITAN AVENUE	11418
1325 JEROME AVENUE	1325 JEROME AVENUE	10452
1325 SOUTHERN BOULEVARD	1325 SOUTHERN BOULEVARD	10459
1328 FULTON STREET APARTMENTS	1320 FULTON STREET	11216
1329 EAST 13TH STREET	1329 EAST 13 STREET	11230
133 BROWN PLACE	133 BROWN PLACE	10454
133-135 MESEROLE AVENUE APARTMENTS	133 MESEROLE AVENUE	11222
133-135 MESEROLE AVENUE APARTMENTS	135 MESEROLE AVENUE	11222
1337 GATES AVENUE	1337 GATES AVENUE	11221
1347 BRISTOW ST	1347 BRISTOW STREET	10459
1353 CASTLE HILL AVENUE	1353 CASTLE HILL AVENUE	10462
1360 1364 PURDY STREET APARTMENTS	1364 PURDY STREET	10462
1380 University Avenue	1380 DR M L KING JR BOULEVARD	10452
1381 BERGEN STREET APARTMENTS	1381 BERGEN STREET	11213
139-141 AVENUE D HDFC.YR15.FY2017	139 AVENUE D	10009
1395 NELSON AVENUE APARTMENTS	1400 EDWARD L GRANT HIGHWAY	10452
14 HAVENS PLACE APARTMENTS	14 HAVENS PLACE	11233
14-45 31ST AVENUE	14-45 31 AVENUE	11106
140 JOHNSON AVENUE	140 JOHNSON AVENUE	11206
140 STANHOPE STREET APARTMENTS	140 STANHOPE STREET	11221
140-26 FRANKLIN AVENUE HPO FY17	140-26 FRANKLIN AVENUE	11355
1402 YORK AVENUE	1402 YORK AVENUE	10021
1409 BRYANT AVENUE	1409 BRYANT AVENUE	10459
141 METROPOLITAN AVENUE	141 METROPOLITAN AVENUE	11249
141 NICHOLAS HDFC.YR15.FY21	646 ST NICHOLAS AVENUE	10030
141 UTICA AVENUE APARTMENTS	141 UTICA AVENUE	11213
141 WOODBINE STREET	141 WOODBINE STREET	11221
1414 CENTRAL AVENUE	14-14 CENTRAL AVENUE	11691
1414 WALTON LLC.PILLARS.FY21	1416 WALTON AVENUE	10452
1417 LONGFELLOW AVENUE	1417 LONGFELLOW AVENUE	10459
142 ERASMUS STREET	142 ERASMUS STREET	11226
142 LENOX ROAD	142 LENOX ROAD	11226
142 MANHATTAN AVENUE APARTMENTS	142 MANHATTAN AVENUE	11206
1424 HANCOCK STREET APARTMENTS	1424 HANCOCK STREET	11237
1424 VYSE AVENUE APARTMENTS	1424 VYSE AVENUE	10459
1425 MACOMBS ROAD.HPO.FY19	1425 JEROME AVENUE	10452
143 WOODBINE STREET APARTMENTS	143 WOODBINE STREET	11221
1431 VYSE AVENUE	1431 VYSE AVENUE	10459
144-146 WEST STREET	144 WEST STREET	11222
145 MADISON AVENUE	145 MADISON AVENUE	10016
146 BAYARD STREET	146 BAYARD STREET	11222
146 ERASMUS STREET	146 ERASMUS STREET	11226
146 LINDEN BOULEVARD APARTMENTS	146 LINDEN BOULEVARD	11226
148 BLEECKER STREET APARTMENT	148 BLEECKER STREET	11221
148-31 90TH AVE.	148-31 90 AVENUE	11435
1489-1495 BROOKLYN AVENUE	233 BROOKLYN AVENUE	11213
1489-1495 BROOKLYN AVENUE	1489 BROOKLYN AVENUE	11210
1490 CROTONA PARK EAST	1490 CROTONA PARK EAST	10457
15 CEDAR STREET APARTMENTS	15 CEDAR STREET	11221
15 HUNTERFLY PLACE	15 HUNTERFLY PLACE	11233
15 Hudson Yards Apartments	553 WEST 30 STREET	10001
15 JEFFERSON STREET	15 JEFFERSON STREET	11206
15 STRATFORD LLC.GHPP.FY18	15 STRATFORD ROAD	11218
150 MESEROLE STREET	150 MESEROLE STREET	11206
1503 JEFFERSON AVENUE APARTMENTS	1503 JEFFERSON AVENUE	11237
1507 NEW YORK AVENUE	1507 NEW YORK AVENUE	11210
1509 NEW YORK AVENUE	1509 NEW YORK AVENUE	11210
151 SOMERS STREET CONDOMINIUMS	151 SOMERS STREET	11233
1515 BEDFORD AVENUE	1515 BEDFORD AVENUE	11216
1515 PARK PLACE APARTMENTS	1515 PARK PLACE	11213
1516 BEDFORD.HPO.FY21	1516 BEDFORD AVENUE	11216
1516 FULTON STREET	1516 FULTON STREET	11216
1517 NEW YORK AVENUE APARTMENTS	1517 NEW YORK AVENUE	11210
1519 NEW YORK AVENUE	1519 NEW YORK AVENUE	11210
1519-1535 BEDFORD AVENUE	1535 BEDFORD AVENUE	11216
152 EAST 116TH STREET	152 EAST 116 STREET	10029
152 WEST 140TH STREET	2395 ADAM C POWELL BOULEVARD	10030
1520 FULTON STREET	1520 FULTON STREET	11216
1520 PROSPECT PLACE APARTMENTS	1516 PROSPECT PLACE	11213
1520 SEDGWICK AVENUE HDFC.PLP.FY19	1520 SEDGWICK AVENUE	10453
1527 NEW YORK AVENUE	1527 NEW YORK AVENUE	11210
1528 BERGEN STREET APARTMENTS	1528 BERGEN STREET	11213
153 Manhattan Ave HDFC Extended Affordability	153 MANHATTAN AVENUE	10025
153 Manhattan Ave HDFC Extended Affordability	157 MANHATTAN AVENUE	10025
153 Manhattan Ave HDFC Extended Affordability	161 MANHATTAN AVENUE	10025
153-19 JAMAICA AVENUE	153-19 JAMAICA AVENUE	11432
1530 PUTNAM AVENUE APARTMENTS	1530 PUTNAM AVENUE	11237
1533 EAST 19TH STREET	1533 EAST 19 STREET	11230
1534 PUTNAM AVENUE APARTMENTS	1534 PUTNAM AVENUE	11237
1538 NEW YORK AVENUE APARTMENTS	1538 NEW YORK AVENUE	11210
1543 EAST 19TH STREET APARTMENTS	1543 EAST 19 STREET	11230
1543 EAST NEW YORK AVENUE	1543 EAST NEW YORK AVENUE	11212
1544 NOSTRAND AVENUE	1544 NOSTRAND AVENUE	11226
1545 BERGEN STREET APARTMENTS	1545 BERGEN STREET	11213
1547 EAST NEW YORK AVENUE	1547 EAST NEW YORK AVE	11212
1552 MYRTLE AVENUE APARTMENTS	1552 MYRTLE AVENUE	11237
1557 FULTON STREET	1557 FULTON STREET	11216
156-160 ERASMUS STREET	156 ERASMUS STREET	11226
156-160 ERASMUS STREET	160 ERASMUS STREET	11226
1561 WALTON AVENUE	1561 WALTON AVENUE	10452
1595 BROADWAY APARTMENTS	1595 BROADWAY	11207
1597 LINCOLN PLACE	1597 LINCOLN PLACE	11233
16 CHARLES PLACE	16 CHARLES PLACE	11221
1600 EAST 19TH STREET	1590 EAST 19 STREET	11230
1603 LINCOLN PLACE APARTMENTS	1603 LINCOLN PLACE	11233
1605 NEW YORK AVENUE	1605 NEW YORK AVENUE	11210
1609 VOORHIES AVENUE	1609 VOORHIES AVENUE	11235
1610 NEW YORK AVENUE	1610 NEW YORK AVENUE	11210
1612 NEW YORK AVENUE	1612 NEW YORK AVENUE	11210
1613 BROOKLYN AVENUE APARTMENTS	1617 BROOKLYN AVENUE	11210
1613 REALTY LTD.GHPP.FY20	1135 HOE AVENUE	10459
1618 FULTON STREET	1618 FULTON STREET	11213
1626 & 1630 BROOKLYN AVENUE	1630 BROOKLYN AVENUE	11210
1626 & 1630 BROOKLYN AVENUE	1626 BROOKLYN AVENUE	11210
163-05 ARCHER AVENUE	163-05 ARCHER AVENUE	11433
1634 CHURCH AVENUE APARTMENTS	1634 CHURCH AVENUE	11226
1636 DEKALB AVENUE	1636 DEKALB AVENUE	11237
163RD ST IMPROVEMENT COUNCIL	494 EAST 167 STREET	10456
163RD ST IMPROVEMENT COUNCIL	382 EAST 168 STREET	10456
163RD ST IMPROVEMENT COUNCIL	1088 WASHINGTON AVENUE	10456
163RD ST IMPROVEMENT COUNCIL	1102 WASHINGTON AVENUE	10456
1643 NEW YORK AVENUE APARTMENTS	1643 NEW YORK AVENUE	11210
1645 NEW YORK AVENUE APARTMENTS	1645 NEW YORK AVENUE	11210
165 STOCKHOLM STREET	165 STOCKHOLM STREET	11237
165 WEST 80TH STREET	165 WEST 80 STREET	10024
1654 PARKER STREET APARTMENTS	1654 PARKER STREET	10462
166 East 100th Street	166 EAST 100 STREET	10029
1666 BROADWAY APARTMENTS	1666 BROADWAY	11207
167-171 CHRYSTIE STREET	167 CHRYSTIE STREET	10002
1672 DEAN STREET APARTMENTS	1672 DEAN STREET	11213
1674 PARK AVENUE APARTMENTS	1674 PARK AVENUE	10035
1675 WESTCHESTER	1675 WESTCHESTER AVENUE	10472
168 EAST 100TH STREET	168 EAST 100 STREET	10029
168-05 DEPOT ROAD	168-05 DEPOT ROAD	11358
168TH STREET GARAGE	92-29 168 STREET	11433
169 HULL STREET	169 HULL STREET	11233
169 LOTT STREET	169 LOTT STREET	11226
1690 NELSON AVE	1690 NELSON AVENUE	10453
170-19 89TH AVENUE	170-19 89 AVENUE	11432
1701 PARKVIEW AVENUE	1701 PARKVIEW AVENUE	10461
1705 EAST 17TH STREET	1702 QUENTIN ROAD	11229
1709 PARK PLACE	1709 PARK PLACE	11233
171 LINDEN BOULEVARD APARTMENTS	171 LINDEN BOULEVARD	11226
1711 Davidson HDFC	1711 DAVIDSON AVENUE	10453
1718 PRESIDENT STREET	1781 PRESIDENT STREET	
1728 TOWNSEND AVENUE APARTMENTS	1728 TOWNSEND AVENUE	10453
173 MORNINGSIDE AVENUE APARTMENTS	173 MORNINGSIDE AVENUE	10027
174 North 11th Street	174 NORTH 11 STREET	11211
1755 WATSON AVENUE	1111 COMMONWEALTH AVENUE	10472
1755 WATSON AVENUE	1115 COMMONWEALTH AVENUE	10472
1755 WATSON AVENUE	1120 ROSEDALE AVENUE	10472
176 KNICKERBOCKER AVENUE	176 KNICKERBOCKER AVENUE	11237
1764 UNION STREET APARTMENTS	1764 UNION STREET	11213
1766-68 SECOND AVENUE	1766 2 AVENUE	10128
1766-68 SECOND AVENUE	1768 2 AVENUE	10128
177 & 185 VERONICA PLACE	177 VERONICA PLACE	11226
177 & 185 VERONICA PLACE	185 VERONICA PLACE	11226
177-14 WEXFORD TERRACE	177-14 WEXFORD TERRACE	11432
1770 MADISON AVENUE LLC	1770 MADISON AVENUE	10035
1779 WEEKS AVENUE APARTMENTS	1779 WEEKS AVENUE	10457
1780 SHEEPSHEAD BAY ROAD	1780 SHEEPSHEAD BAY ROAD	11235
179 NORTH 7TH STREET APARTMENTS	179 REAR NORTH 7 STREET	
1790 Clinton Avenue	1790 CLINTON AVENUE	10457
18 STANHOPE STREET APARTMENTS	18 STANHOPE STREET	11221
180 Saint Nicholas Avenue HDFC	180 ST NICHOLAS AVENUE	10026
1801 BROADWAY	1801 BROADWAY	11207
1802 CROTONA AVENUE	1802 CROTONA AVENUE	10457
181 Front Street	181 FRONT STREET	11201
1810 CROTONA PARK EAST APARTMENTS	1810 CROTONA PARK EAST	10457
1817 UNIVERSITY AVENUE APARTMENTS	1817 UNIVERSITY AVENUE	10453
182 JEFFERSON STREET APARTMENTS	182 JEFFERSON STREET	11206
1825 EASTERN PARKWAY	1825 EASTERN PARKWAY	11233
183 COVERT STREET APARTMENTS	181 COVERT STREET	11207
183 TOMPKINS LLC	183 TOMPKINS AVENUE	11206
1857 BARNES AVENUE APARTMENTS	1857 BARNES AVENUE	10462
186 GREENPOINT AVENUE	186 GREENPOINT AVENUE	11222
186 ST. GEORGES CRESCENT	170 EAST 206 STREET	10458
187 JOHNSON AVENUE	187 JOHNSON AVENUE	11206
187 KENT AVENUE	187 KENT AVENUE	11249
188 HUMBOLDT STREET	188 HUMBOLDT STREET	11206
188 PULASKI STREET	188 PULASKI STREET	11206
1890 Andrews Avenue	1890 ANDREWS AVENUE SOUTH	10453
1893 CROTONA AVENUE APARTMENTS	1893 CROTONA AVENUE	10457
1898 HARRISON AVENUE.GHPP.FY21	1898 HARRISON AVENUE	10453
18A BLEECKER STREET	18A BLEECKER STREET	11221
19 EAST 31ST STREET	19 EAST 31 STREET	11226
19 India Street (145 West Street)	155 WEST STREET	11222
19 MALTA STREET	19 MALTA STREET	11207
1906-08AMETHYSTCONSTRUCTIONCORP.HRP.FY18	1906 AMETHYST STREET	10462
1906-08AMETHYSTCONSTRUCTIONCORP.HRP.FY18	1908 AMETHYST STREET	10462
1907 SOUTHERN BOULEVARD	1907 SOUTHERN BOULEVARD	10460
1921 ATLANTIC AVE	1921 ATLANTIC AVENUE	11233
194 22 STREET	194 22 STREET	11232
194 LEXINGTON AVENUE	194 LEXINGTON AVENUE	11216
195 SULLIVAN PLACE	195 SULLIVAN PLACE	11225
1950 HOBART AVENUE	1950 HOBART AVENUE	10461
196 FREEMAN STREET APARTMENTS	196 FREEMAN STREET	11222
1969 HUGHES AVENUE	1969 HUGHES AVENUE	10457
197 FREEMAN STREET	197 FREEMAN STREET	11222
198 19TH STREET	198 19 STREET	11232
1980 AMSTERDAM AVENUE	1980 AMSTERDAM AVENUE	10032
1992 THIRD AVENUE APARTMENTS	1992 3 AVENUE	10029
1994 BERGEN STREET	1994 BERGEN STREET	11233
2 MT. HOPE PLACE	2 MT HOPE PLACE	10453
20 JEFFERSON STREET APARTMENTS	20 JEFFERSON STREET	11206
20-52 49TH STREET APARTMENTS	20-52 49 STREET	11105
200 CLIFTON PLACE APARTMENTS	200 CLIFTON PLACE	11216
200 EAST 95 STREET	1693 3 AVENUE	10128
200 MONTAGUE STREET	200 MONTAGUE STREET	11201
2001 ARTHUR AVENUE APARTMENTS	2001 ARTHUR AVENUE	10457
2004 DAVIDSON AVENUE	2004 DAVIDSON AVENUE	10453
2006 LEXINGTON AVENUE	2006 LEXINGTON AVENUE	10035
2010 WALTON AVENUE	2010 WALTON AVENUE	10453
2015 Monterey Avenue LLC aka PRC Monterey	547 EAST 178 STREET	10457
2015 Monterey Avenue LLC aka PRC Monterey	551 EAST 178 STREET	10457
2015 Monterey Avenue LLC aka PRC Monterey	2005 MONTEREY AVENUE	10457
2015 Monterey Avenue LLC aka PRC Monterey	2015 MONTEREY AVENUE	10457
2015 Monterey Avenue LLC aka PRC Monterey	2023 MONTEREY AVENUE	10457
2015 Monterey Avenue LLC aka PRC Monterey	1665 VYSE AVENUE	10460
2015 Monterey Avenue LLC aka PRC Monterey	1671 VYSE AVENUE	10460
2015 Monterey Avenue LLC aka PRC Monterey	1687 VYSE AVENUE	10460
2015 Monterey Avenue LLC aka PRC Monterey	1693 VYSE AVENUE	10460
2015 Monterey Avenue LLC aka PRC Monterey	1715 VYSE AVENUE	10460
2019 UNION STREET	2019 UNION STREET	11212
202 EAST 23RD STREET	202 EAST 23 STREET	10010
2028 DAVIDSON AVENUE	2028 DAVIDSON AVENUE	10453
204 AVENUE A & 535 EAST 12TH STREET PROJECT	204 AVENUE A	10009
204 AVENUE A & 535 EAST 12TH STREET PROJECT	535 EAST 12 STREET	10009
205 BEACH 29TH STREET	205 BEACH 29 STREET	11691
2050 GRAND CONCOURSE	2050 GRAND CONCOURSE	10457
207 W. 147 St. HDFC	207 WEST 147 STREET	10039
207 WEST 115TH STREET	207 WEST 115 STREET	10026
209 KENT STREET APARTMENTS	209 KENT STREET	11222
209-211-213 TROY AVENUE APARTMENTS	213 TROY AVENUE	11213
209-211-213 TROY AVENUE APARTMENTS	209 TROY AVENUE	11213
209-211-213 TROY AVENUE APARTMENTS	211 TROY AVENUE	11213
2096 STRAUSS STREET APARTMENTS	2096 STRAUSS STREET	11212
21 ARDEN STREET	21 ARDEN STREET	10040
21-03 46 AVENUE APARTMENTS	21-03 46 AVENUE	11101
21-10 31ST AVE	21-10 31 AVENUE	11106
21-34 BROADWAY APARTMENTS	21-34 BROADWAY	11106
21-59 44TH DRIVE	21-59 44 DRIVE	11101
210 East 39th Street	210 EAST 39 STREET	10016
210 Livingston Street	45 HOYT STREET	11201
210 PARKVILLE AVENUE	210 PARKVILLE AVENUE	11230
211 MCGUINESS	211 MC GUINNESS BOULEVARD	11222
211 WEST 28TH STREET	211 WEST 28 STREET	10001
211 WEST 29TH STREET	211 WEST 29 STREET	10001
211 West 147 Street	211 WEST 147 STREET	10039
2115 BURR AVENUE APARTMENTS	2115 BURR AVENUE	10461
2118 MAPES AVENUE APARTMENTS	2118 MAPES AVENUE	10460
212 EAST 125TH STREET	212 EAST 125 STREET	10035
212 LINDEN BLVD	212 LINDEN BOULEVARD	11226
2120 DALY AVENUE	2116 DALY AVENUE	10460
2120 Mapes Avenue HDFC	2120 MAPES AVENUE	10460
2121 7TH AVENUE APARTMENTS	2121 ADAM C POWELL BOULEVARD	10027
2126 MAPES AVENUE	2126-28 MAPES AVENUE	10460
2139 THIRD AVENUE	2139 3 AVENUE	10035
214 WEST 72ND STREET	214 WEST 72 STREET	10023
215 AUDUBON AVENUE HDFC.GHPP.FY20	215 AUDUBON AVENUE	10033
2155 CATON AVENUE	2155 CATON AVENUE	11226
216 BOERUM STREET APARTMENTS	216 BOERUM STREET	11206
216 FREEMAN STREET APARTMENTS	216 FREEMAN STREET	11222
217 BOERUM STREET	217 BOERUM STREET	11206
217-221 W. 29th Street	221 WEST 29 STREET	10001
2175 BERGEN STREET	2175 BERGEN STREET	11233
2178 BERGEN STREET	2178 BERGEN STREET	11233
2183 3RD AVENUE	2183 3 AVENUE	10035
219 SOUTH 3RD STREET	219 SOUTH 3 STREET	11211
22 MELROSE STREET	22 MELROSE STREET	11206
22-22 STEINWAY STREET APARTMENTS	22-22 STEINWAY STREET	11105
221 EAST 105TH STREET	221 EAST 105 STREET	10029
2211 THIRD AVENUE	2211 3 AVENUE	10035
222 EAST 44TH STREET	212 EAST 44 STREET	10017
222 EAST 44TH STREET PHASE II	212 EAST 44 STREET	10017
222 JOHNSON AVENUE	222 JOHNSON AVENUE	11206
2222 JACKSON AVENUE	22-22 JACKSON AVENUE	11101
2224 CROPSEY AVENUE	2224 CROPSEY AVENUE	11214
223 MANHATTAN AVENUE	223 MANHATTAN AVENUE	11206
223 North 8th Street	230 NORTH 9 STREET	11211
2232 KIMBALL STREET	2232 KIMBALL STREET	11234
2245 CRESTON AVENUE	2245 CRESTON AVENUE	10453
225 E 39th Street (fka 222 East 40th Street)	601 3 AVENUE	10158
225 HOWARD AVENUE	225 HOWARD AVENUE	11233
225 W 28TH STREET	225 WEST 28 STREET	10001
225 WINTHROP STREET APARTMENTS	225 WINTHROP STREET	11225
2250 CLARENDON ROAD	2250 CLARENDON ROAD	11226
226 West 113th Street HDFC	226 WEST 113 STREET	10026
2264 Morris Avenue	2264 MORRIS AVENUE	10453
2265 HUGHES AVENUE APARTMENT	2265 HUGHES AVENUE	10457
2266 PACIFIC STREET	2266 PACIFIC STREET	11233
227 WINTHROP STREET APARTMENTS	227 WINTHROP STREET	11225
2274 ADAM CLAYTON POWELL JR. BLVD. CLUSTER	2274 ADAM C POWELL BOULEVARD	10030
2274 ADAM CLAYTON POWELL JR. BLVD. CLUSTER	24 WEST 132 STREET	10037
2274 ADAM CLAYTON POWELL JR. BLVD. CLUSTER	202 WEST 133 STREET	10030
2278 BRONX PARK EAST	2278 BRONX PARK EAST	10467
229 Cherry Street	227 CHERRY STREET	10002
229 WEST 136 STREET	229 WEST 136 STREET	10030
23-61 31ST STREET APARTMENTS	23-61 31 STREET	11105
23-71 31ST STREET	23-71 31 STREET	11105
23-81 21ST STREET	23-81 21 STREET	11105
230 EAST 124 STREET	230 EAST 124 STREET	10035
230-232 EAST 54TH STREET	230-232 EAST 54 STREET	10022
2302 MORRIS AVENUE	2302 MORRIS AVENUE	10468
2302 WEBSTER AVENUE	2302 WEBSTER AVENUE	10458
2311 MORRIS AVENUE	2311 MORRIS AVENUE	10468
2316-2322 ANDREWS AVENUE NORTH HDFC.HPO.FY19	2316 ANDREWS AVENUE NORTH	10468
2316-2322 ANDREWS AVENUE NORTH HDFC.HPO.FY19	2322 ANDREWS AVENUE	10468
2317 CAMBRELEND AVENUE APARTMENTS	2317 CAMBRELENG AVENUE	10458
